trial,payload,size,time
1,1,10000,0.000872834
1,1,100000,0.01058
1,1,1000000,0.119782
1,1,10000000,1.39585
1,1,50000000,7.64463
1,1,100000000,16.3791
1,64,10000,0.000831805
1,64,100000,0.00992384
1,64,1000000,0.119606
1,64,10000000,1.39643
1,64,50000000,7.6311
1,64,100000000,16.4008
