trial,problem,threads,time
5,mixed_files/,18,3.10893
5,big_files/,18,3.05304
5,small_files/,20,4.3829
5,mixed_files/,20,2.79078
5,big_files/,20,3.53277
5,small_files/,22,4.63316
5,mixed_files/,22,2.89433
5,big_files/,22,3.60803
5,small_files/,24,4.88426
5,mixed_files/,24,3.45393
5,big_files/,24,3.79168
5,small_files/,28,4.75431
5,mixed_files/,28,3.05342
5,big_files/,28,3.39042
5,small_files/,30,4.78005
5,mixed_files/,30,3.17025
5,big_files/,30,3.90849
5,small_files/,32,5.04531
5,mixed_files/,32,2.95321
5,big_files/,32,4.47909
