threads,chunk_size,problem,dynamic,free,time
0,0,1,0,0,0.984747
0,0,2,0,0,22.8545
0,0,3,0,0,23.2012
2,1,1,0,0,0.540972
2,1,2,0,0,12.2815
2,1,3,0,0,12.3194
2,1,1,1,0,1.30632
2,1,2,1,0,20.7092
2,1,3,1,0,24.9071
2,1,1,1,1,0.661538
2,1,2,1,1,14.3058
2,1,3,1,1,12.9981
2,10,1,0,0,0.508599
2,10,2,0,0,11.8206
2,10,3,0,0,11.6988
2,10,1,1,0,0.611432
2,10,2,1,0,14.807
2,10,3,1,0,15.5406
2,10,1,1,1,0.497131
2,10,2,1,1,11.1109
2,10,3,1,1,11.3088
2,50,1,0,0,0.507066
2,50,2,0,0,11.5759
2,50,3,0,0,11.5024
2,50,1,1,0,0.591267
2,50,2,1,0,14.4309
2,50,3,1,0,14.8171
2,50,1,1,1,0.468047
2,50,2,1,1,10.6835
2,50,3,1,1,10.854
2,100,1,0,0,0.510679
2,100,2,0,0,11.899
2,100,3,0,0,11.8895
2,100,1,1,0,0.586893
2,100,2,1,0,14.2534
2,100,3,1,0,14.5135
2,100,1,1,1,0.467466
2,100,2,1,1,11.0057
2,100,3,1,1,10.8501
2,1000,1,0,0,0.967839
2,1000,2,0,0,11.3399
2,1000,3,0,0,11.7291
2,1000,1,1,0,0.581697
2,1000,2,1,0,14.3751
2,1000,3,1,0,14.3224
2,1000,1,1,1,0.458111
2,1000,2,1,1,10.424
2,1000,3,1,1,11.0155
4,1,1,0,0,0.313313
4,1,2,0,0,7.07786
4,1,3,0,0,7.05939
4,1,1,1,0,1.3812
4,1,2,1,0,26.5744
4,1,3,1,0,28.4849
4,1,1,1,1,0.367679
4,1,2,1,1,7.97646
4,1,3,1,1,8.1501
4,10,1,0,0,0.277717
4,10,2,0,0,6.53802
4,10,3,0,0,6.54651
4,10,1,1,0,0.337249
4,10,2,1,0,8.23194
4,10,3,1,0,8.41028
4,10,1,1,1,0.264548
4,10,2,1,1,6.01005
4,10,3,1,1,6.11101
4,50,1,0,0,0.272349
4,50,2,0,0,6.34402
4,50,3,0,0,6.36841
4,50,1,1,0,0.312482
4,50,2,1,0,7.63134
4,50,3,1,0,7.77947
4,50,1,1,1,0.250768
4,50,2,1,1,5.76172
4,50,3,1,1,5.84966
4,100,1,0,0,0.319051
4,100,2,0,0,6.28059
4,100,3,0,0,6.28075
4,100,1,1,0,0.308066
4,100,2,1,0,7.57935
4,100,3,1,0,7.68292
4,100,1,1,1,0.247491
4,100,2,1,1,5.67938
4,100,3,1,1,5.77031
4,1000,1,0,0,0.963664
4,1000,2,0,0,6.10276
4,1000,3,0,0,6.10306
4,1000,1,1,0,0.304031
4,1000,2,1,0,7.48486
4,1000,3,1,0,7.6833
4,1000,1,1,1,0.240104
4,1000,2,1,1,5.53122
4,1000,3,1,1,5.51428
8,1,1,0,0,0.160967
8,1,2,0,0,3.78463
8,1,3,0,0,3.78517
8,1,1,1,0,1.60685
8,1,2,1,0,28.2996
8,1,3,1,0,30.2131
8,1,1,1,1,0.217829
8,1,2,1,1,4.63694
8,1,3,1,1,4.65973
8,10,1,0,0,0.147768
8,10,2,0,0,3.40346
8,10,3,0,0,3.40465
8,10,1,1,0,0.206369
8,10,2,1,0,4.53452
8,10,3,1,0,4.61415
8,10,1,1,1,0.137992
8,10,2,1,1,3.14318
8,10,3,1,1,3.19328
8,50,1,0,0,0.165708
8,50,2,0,0,3.2552
8,50,3,0,0,3.24657
8,50,1,1,0,0.160194
8,50,2,1,0,3.93023
8,50,3,1,0,3.99415
8,50,1,1,1,0.129548
8,50,2,1,1,2.97667
8,50,3,1,1,3.02403
8,100,1,0,0,0.21223
8,100,2,0,0,3.19984
8,100,3,0,0,3.20028
8,100,1,1,0,0.158307
8,100,2,1,0,3.88058
8,100,3,1,0,3.94007
8,100,1,1,1,0.127052
8,100,2,1,1,2.92726
8,100,3,1,1,2.97138
8,1000,1,0,0,0.967374
8,1000,2,0,0,3.07188
8,1000,3,0,0,3.0719
8,1000,1,1,0,0.155143
8,1000,2,1,0,3.82858
8,1000,3,1,0,3.88749
8,1000,1,1,1,0.122696
8,1000,2,1,1,2.8293
8,1000,3,1,1,2.87489
16,1,1,0,0,0.0828447
16,1,2,0,0,1.9951
16,1,3,0,0,2.00416
16,1,1,1,0,1.55754
16,1,2,1,0,27.8164
16,1,3,1,0,27.5549
16,1,1,1,1,0.201522
16,1,2,1,1,3.7371
16,1,3,1,1,4.00441
16,10,1,0,0,0.081216
16,10,2,0,0,1.75737
16,10,3,0,0,1.75734
16,10,1,1,0,0.158617
16,10,2,1,0,3.05776
16,10,3,1,0,3.17395
16,10,1,1,1,0.0713251
16,10,2,1,1,1.60517
16,10,3,1,1,1.63114
16,50,1,0,0,0.111354
16,50,2,0,0,1.64851
16,50,3,0,0,1.64927
16,50,1,1,0,0.0827335
16,50,2,1,0,1.97999
16,50,3,1,0,2.01141
16,50,1,1,1,0.0657854
16,50,2,1,1,1.50421
16,50,3,1,1,1.52787
16,100,1,0,0,0.110303
16,100,2,0,0,1.62537
16,100,3,0,0,1.69642
16,100,1,1,0,0.0802567
16,100,2,1,0,1.94545
16,100,3,1,0,1.97445
16,100,1,1,1,0.064489
16,100,2,1,1,1.47355
16,100,3,1,1,1.49651
16,1000,1,0,0,0.965324
16,1000,2,0,0,1.53945
16,1000,3,0,0,1.54151
16,1000,1,1,0,0.0811138
16,1000,2,1,0,1.91576
16,1000,3,1,0,1.94442
16,1000,1,1,1,0.0618346
16,1000,2,1,1,1.41642
16,1000,3,1,1,1.4458
32,1,1,0,0,0.0583155
32,1,2,0,0,1.3865
32,1,3,0,0,1.40928
32,1,1,1,0,1.56635
32,1,2,1,0,30.1251
32,1,3,1,0,30.7644
32,1,1,1,1,0.134892
32,1,2,1,1,2.68305
32,1,3,1,1,2.56717
