threads,chunk_size,problem,dynamic,free,time
32,10,1,0,0,0.0608985
32,10,2,0,0,1.26652
32,10,3,0,0,1.26646
32,10,1,1,0,0.162879
32,10,2,1,0,2.76092
32,10,3,1,0,3.16226
32,10,1,1,1,0.0499063
32,10,2,1,1,1.09336
32,10,3,1,1,1.11047
32,50,1,0,0,0.0797768
32,50,2,0,0,1.17772
32,50,3,0,0,1.17678
32,50,1,1,0,0.0572822
32,50,2,1,0,1.32457
32,50,3,1,0,1.34351
32,50,1,1,1,0.0467827
32,50,2,1,1,1.04692
32,50,3,1,1,1.06326
32,100,1,0,0,0.11347
32,100,2,0,0,1.157
32,100,3,0,0,1.15567
32,100,1,1,0,0.0552555
32,100,2,1,0,1.30502
32,100,3,1,0,1.32471
32,100,1,1,1,0.0462913
32,100,2,1,1,1.03283
32,100,3,1,1,1.04888
32,1000,1,0,0,0.969707
32,1000,2,0,0,1.10408
32,1000,3,0,0,1.10469
32,1000,1,1,0,0.0546529
32,1000,2,1,0,1.30862
32,1000,3,1,0,1.32826
32,1000,1,1,1,0.0443002
32,1000,2,1,1,1.01184
32,1000,3,1,1,1.02802
