threads,chunk_size,problem,dynamic,free,time
16,1000,3,1,1,1.43891
32,1,1,0,0,0.0575493
32,1,2,0,0,1.38496
32,1,3,0,0,1.40448
32,1,1,1,0,1.57631
32,1,2,1,0,30.0604
32,1,3,1,0,30.4606
32,1,1,1,1,0.135492
32,1,2,1,1,2.718
32,1,3,1,1,2.72908
32,10,1,0,0,0.0610541
32,10,2,0,0,1.26511
32,10,3,0,0,1.26466
32,10,1,1,0,0.155954
32,10,2,1,0,2.99529
32,10,3,1,0,3.09228
32,10,1,1,1,0.0498162
32,10,2,1,1,1.09357
32,10,3,1,1,1.11011
32,50,1,0,0,0.0799468
32,50,2,0,0,1.17719
32,50,3,0,0,1.17718
32,50,1,1,0,0.0572014
32,50,2,1,0,1.32261
32,50,3,1,0,1.3442
32,50,1,1,1,0.0463608
32,50,2,1,1,1.04704
32,50,3,1,1,1.06333
32,100,1,0,0,0.113724
32,100,2,0,0,1.15563
32,100,3,0,0,1.15546
32,100,1,1,0,0.0549599
32,100,2,1,0,1.30275
32,100,3,1,0,1.32483
32,100,1,1,1,0.0461639
32,100,2,1,1,1.03223
32,100,3,1,1,1.04923
32,1000,1,0,0,0.969837
32,1000,2,0,0,1.10388
32,1000,3,0,0,1.10402
32,1000,1,1,0,0.0549669
32,1000,2,1,0,1.30919
32,1000,3,1,0,1.32857
32,1000,1,1,1,0.0441553
32,1000,2,1,1,1.01197
32,1000,3,1,1,1.02807
