size,run,time
1000001,1,4.5e-05
1000001,2,4.56e-05
1000001,3,4.5e-05
1000001,4,3.9e-07
1000001,5,1.8e-05
8000000,1,0.0247742
8000000,2,0.0239488
8000000,3,0.0233694
8000000,4,0.0237399
8000000,5,0.023361
10000001,1,0.0298044
10000001,2,0.0294257
10000001,3,0.0298237
10000001,4,0.0292977
10000001,5,0.0293252
80000000,1,0.241828
80000000,2,0.229745
80000000,3,0.226393
80000000,4,0.242418
80000000,5,0.230721
